lastname,firstname,residentID,programID,name
Abbott,Addilynn,65109744,FMD,Family Medicine
Abbott,Aitana,87010782,FMD,Family Medicine
Abbott,Alexa,14604909,FMD,Family Medicine
Abbott,Ambrose,35538916,FMD,Family Medicine
Abbott,Amias,87890814,FMD,Family Medicine
Abbott,Amirah,71179631,IMD,Internal Medicine
Abbott,Annika,11886449,IMD,Internal Medicine
Abbott,Charlee,37501081,FMD,Family Medicine
Abbott,Cooper,64841627,FMD,Family Medicine
Abbott,Cora,35313553,FMD,Family Medicine
Abbott,Curtis,49190683,FMD,Family Medicine
Abbott,Davion,98635409,FMD,Family Medicine
Abbott,Derrick,60249742,EMD,Emergency Medicine
Abbott,Drew,42553228,FMD,Family Medicine
Abbott,Gabrielle,92583374,FMD,Family Medicine
Abbott,Gordon,16988796,IMD,Internal Medicine
Abbott,Irene,84993711,FMD,Family Medicine
Abbott,Jacoby,42294924,PSU,Plastic Surgery
Abbott,Jacqueline,23588257,FMD,Family Medicine
Abbott,Jamari,49529121,ANT,Anesthesiology
Abbott,Jett,58029109,FMD,Family Medicine
Abbott,Kaison,65999413,FMD,Family Medicine
Abbott,Kason,55954584,FMD,Family Medicine
Abbott,Keilani,69129390,FMD,Family Medicine
Abbott,Kenzo,22624867,FMD,Family Medicine
Abbott,Kylian,95592889,FMD,Family Medicine
Abbott,Leonard,79389625,OPH,Ophthalmology
Abbott,Leroy,82075291,DRA,Diagnostic Radiology
Abbott,Mark,69088665,FMD,Family Medicine
Abbott,Mckinley,11723132,FMD,Family Medicine
Abbott,Milo,71647018,FMD,Family Medicine
Abbott,Nicole,91315379,FMD,Family Medicine
Abbott,Oaklyn,37622915,FMD,Family Medicine
Abbott,Raiden,91823701,ORS,Orthopedic Surgery
Abbott,Ryker,95514282,FMD,Family Medicine
Abbott,Silas,83173338,IMD,Internal Medicine
Abbott,Skyla,77290344,IMD,Internal Medicine
Abbott,Skylar,10572238,FMD,Family Medicine
Abbott,Tatum,11270221,IMD,Internal Medicine
Abbott,Zora,89272918,FMD,Family Medicine
Acevedo,Adler,32735243,FMD,Family Medicine
Acevedo,Aileen,88395849,FMD,Family Medicine
Acevedo,April,40431712,DRA,Diagnostic Radiology
Acevedo,Archer,53428844,FMD,Family Medicine
Acevedo,Aspen,53687000,IMD,Internal Medicine
Acevedo,August,13912350,IMD,Internal Medicine
Acevedo,Averi,94312857,FMD,Family Medicine
Acevedo,Benjamin,92839700,FMD,Family Medicine
Acevedo,Bishop,26674813,PDT,Pediatrics
Acevedo,Bodhi,76227249,OBG,Obstetrics and Gynecology
Acevedo,Bonnie,68440163,FMD,Family Medicine
Acevedo,Calum,28388789,FMD,Family Medicine
Acevedo,Cash,42382550,DRA,Diagnostic Radiology
Acevedo,Cecilia,32127437,FMD,Family Medicine
Acevedo,Charlie,42909016,IMD,Internal Medicine
Acevedo,Charlie,50908068,FMD,Family Medicine
Acevedo,Cooper,57621169,OBG,Obstetrics and Gynecology
Acevedo,Cory,32629797,FMD,Family Medicine
Acevedo,Daxton,39045337,FMD,Family Medicine
Acevedo,Desmond,82605835,IMD,Internal Medicine
Acevedo,Edison,59959949,FMD,Family Medicine
Acevedo,Esmeralda,85083103,IMD,Internal Medicine
Acevedo,Fabian,37766564,FMD,Family Medicine
Acevedo,Fernando,63442510,FMD,Family Medicine
Acevedo,Franklin,56097640,OTO,Otolaryngology - Head and Neck Surgery
Acevedo,Gabriel,73008705,FMD,Family Medicine
Acevedo,Hunter,49962018,FMD,Family Medicine
Acevedo,Israel,15506000,FMD,Family Medicine
Acevedo,Jillian,92205608,FMD,Family Medicine
Acevedo,Journi,94774333,FMD,Family Medicine
Acevedo,Kora,87297927,PDT,Pediatrics
Acevedo,Kyler,89376358,FMD,Family Medicine
Acevedo,Larry,17233262,FMD,Family Medicine
Acevedo,Maddison,93374082,FMD,Family Medicine
Acevedo,Makenzie,49168668,FMD,Family Medicine
Acevedo,Marceline,61496822,PDT,Pediatrics
Acevedo,Milo,56038411,EMD,Emergency Medicine
Acevedo,Orion,71205302,PSY,Psychiatry
Acevedo,Princess,26690249,DRA,Diagnostic Radiology
Acevedo,Raven,52587509,IMD,Internal Medicine
Acevedo,Reid,79323007,NRS,Neurosurgery
Acevedo,Robert,84315393,PSY,Psychiatry
Acevedo,Sawyer,16096270,FMD,Family Medicine
Acevedo,Serena,36938572,FMD,Family Medicine
Acevedo,Tiana,37864799,PDT,Pediatrics
Acevedo,Titan,83525300,FMD,Family Medicine
Acevedo,Veronica,21438022,FMD,Family Medicine
Acevedo,Waylon,32301593,FMD,Family Medicine
Acevedo,Ximena,88811635,ANT,Anesthesiology
Acevedo,Zander,79989252,FMD,Family Medicine
Acosta,Adrian,25848367,XXX,NOT_MATCHED
Acosta,Albert,78988514,FMD,Family Medicine
Acosta,Allison,18014731,FMD,Family Medicine
Acosta,Amira,34654994,FMD,Family Medicine
Acosta,Angie,74090748,FMD,Family Medicine
Acosta,Ari,79198369,IMD,Internal Medicine
Acosta,Ayleen,58531778,FMD,Family Medicine
Acosta,Blaire,69562164,IMD,Internal Medicine
Acosta,Braelyn,43895672,FMD,Family Medicine
Acosta,Brayden,71578416,FMD,Family Medicine
Acosta,Brendan,94814592,FMD,Family Medicine
Acosta,Casey,19542220,FMD,Family Medicine
Acosta,Catalina,19235258,FMD,Family Medicine
Acosta,Chaim,17226134,FMD,Family Medicine
Acosta,Chaim,15680417,FMD,Family Medicine
Acosta,Collins,85668085,OPH,Ophthalmology
Acosta,Dalary,29269088,IMD,Internal Medicine
Acosta,Dario,29848872,FMD,Family Medicine
Acosta,Darwin,62650903,FMD,Family Medicine
Acosta,Donald,16774802,FMD,Family Medicine
Acosta,Elsie,10947290,PSY,Psychiatry
Acosta,Emir,69589002,FMD,Family Medicine
Acosta,Erik,61000751,FMD,Family Medicine
Acosta,Finley,67756745,FMD,Family Medicine
Acosta,Gregory,42789965,FMD,Family Medicine
Acosta,Gunner,96299725,IMD,Internal Medicine
Acosta,Isla,67299461,FMD,Family Medicine
Acosta,Julieta,39915457,FMD,Family Medicine
Acosta,Kingston,51908170,IMD,Internal Medicine
Acosta,Kristian,23982335,NRS,Neurosurgery
Acosta,Lawrence,56375516,FMD,Family Medicine
Acosta,Legacy,33142210,FMD,Family Medicine
Acosta,Leonel,29816040,FMD,Family Medicine
Acosta,Lorelai,67352039,FMD,Family Medicine
Acosta,Mariana,69062977,FMD,Family Medicine
Acosta,Miller,87701903,FMD,Family Medicine
Acosta,Mohamed,47754637,PSY,Psychiatry
